source,target,type
Sirara,Namma,undirected
Sirara,Našše,undirected
Sirara,Ušmu,undirected
Sirara,Imšattu,undirected
Sirara,Nissaba,undirected
Sirara,Nanibgal,undirected
Sirara,Hayyum,undirected
Sirara,antum,undirected
Sirara,Lahar,undirected
Sirara,Šamkan,undirected
Sirara,Ea,undirected
Sirara,Marutuk,undirected
Sirara,Ninlil,undirected
Sirara,Ninurta,undirected
Sirara,Ilaba,undirected
Sirara,Giri,undirected
Sirara,Gira,undirected
Sirara,Ababa,undirected
Sirara,Zababa,undirected
Sirara,Ningublaga,undirected
Sirara,Lisi,undirected
Sirara,Sirsire,undirected
Sirara,Marutu,undirected
Sirara,Illa,undirected
Sirara,Lamaštum,undirected
Sirara,Halmu,undirected
Sirara,Hallamu,undirected
Sirara,Id,undirected
Sirara,Ninzazna,undirected
Sirara,Kabta,undirected
Sirara,Šalaš,undirected
Sirara,Ninti,undirected
Hiš,Haš,undirected
Hiš,maṣit,undirected
Hiš,Idiglat,undirected
Hiš,purattum,undirected
Hiš,Nisaba,undirected
Hiš,Muru,undirected
Hiš,Ennigi,undirected
Hiš,Karkara,undirected
Hiš,Nippur,undirected
Hiš,Ur,undirected
Hiš,Uruk,undirected
Hiš,Kullaba,undirected
Hiš,Udnim,undirected
Hiš,kusiga,undirected
Hiš,Kisig,undirected
Hiš,Aratta,undirected
Hiš,šubartum,undirected
Hiš,Enlil,undirected
Hiš,Šamaš,undirected
Hiš,Alla,undirected
Hiš,Dunga,undirected
Hiš,Lumha,undirected
Hiš,Geškad,undirected
Hiš,Ninura,undirected
Hiš,Išum,undirected
Hiš,Mušdama,undirected
Hiš,Qudma,undirected
Hiš,Qudmaš,undirected
Hiš,Kuksi,undirected
Hiš,Dapan,undirected
Hiš,Gugalita,undirected
Hiš,Quqqim,undirected
Hiš,Qaqqim,undirected
Hiš,Nita,undirected
Hiš,Alamuš,undirected
Hiš,Alba,undirected
Hiš,Alha,undirected
Hiš,Baliha,undirected
Hiš,Namma,undirected
Hiš,Našše,undirected
Hiš,Ušmu,undirected
Hiš,Imšattu,undirected
Hiš,Nissaba,undirected
Hiš,Nanibgal,undirected
Hiš,Hayyum,undirected
Hiš,antum,undirected
Hiš,Lahar,undirected
Hiš,Šamkan,undirected
Hiš,Ea,undirected
Hiš,Marutuk,undirected
Hiš,Ninlil,undirected
Hiš,Ninurta,undirected
Hiš,Ilaba,undirected
Hiš,Giri,undirected
Hiš,Gira,undirected
Hiš,Ababa,undirected
Hiš,Zababa,undirected
Hiš,Ningublaga,undirected
Hiš,Lisi,undirected
Hiš,Sirsire,undirected
Hiš,Marutu,undirected
Hiš,Illa,undirected
Hiš,Lamaštum,undirected
Hiš,Halmu,undirected
Hiš,Hallamu,undirected
Hiš,Id,undirected
Hiš,Ninzazna,undirected
Hiš,Kabta,undirected
Hiš,Šalaš,undirected
Hiš,Ninti,undirected
Haš,maṣit,undirected
Haš,Idiglat,undirected
Haš,purattum,undirected
Haš,Nisaba,undirected
Haš,Muru,undirected
Haš,Ennigi,undirected
Haš,Karkara,undirected
Haš,Nippur,undirected
Haš,Ur,undirected
Haš,Uruk,undirected
Haš,Kullaba,undirected
Haš,Udnim,undirected
Haš,kusiga,undirected
Haš,Kisig,undirected
Haš,Aratta,undirected
Haš,šubartum,undirected
Haš,Enlil,undirected
Haš,Šamaš,undirected
Haš,Alla,undirected
Haš,Dunga,undirected
Haš,Lumha,undirected
Haš,Geškad,undirected
Haš,Ninura,undirected
Haš,Išum,undirected
Haš,Mušdama,undirected
Haš,Qudma,undirected
Haš,Qudmaš,undirected
Haš,Kuksi,undirected
Haš,Dapan,undirected
Haš,Gugalita,undirected
Haš,Quqqim,undirected
Haš,Qaqqim,undirected
Haš,Nita,undirected
Haš,Alamuš,undirected
Haš,Alba,undirected
Haš,Alha,undirected
Haš,Baliha,undirected
Haš,Namma,undirected
Haš,Našše,undirected
Haš,Ušmu,undirected
Haš,Imšattu,undirected
Haš,Nissaba,undirected
Haš,Nanibgal,undirected
Haš,Hayyum,undirected
Haš,antum,undirected
Haš,Lahar,undirected
Haš,Šamkan,undirected
Haš,Ea,undirected
Haš,Marutuk,undirected
Haš,Ninlil,undirected
Haš,Ninurta,undirected
Haš,Ilaba,undirected
Haš,Giri,undirected
Haš,Gira,undirected
Haš,Ababa,undirected
Haš,Zababa,undirected
Haš,Ningublaga,undirected
Haš,Lisi,undirected
Haš,Sirsire,undirected
Haš,Marutu,undirected
Haš,Illa,undirected
Haš,Lamaštum,undirected
Haš,Halmu,undirected
Haš,Hallamu,undirected
Haš,Id,undirected
Haš,Ninzazna,undirected
Haš,Kabta,undirected
Haš,Šalaš,undirected
Haš,Ninti,undirected
maṣit,Idiglat,undirected
maṣit,purattum,undirected
maṣit,Nisaba,undirected
maṣit,Muru,undirected
maṣit,Ennigi,undirected
maṣit,Karkara,undirected
maṣit,Nippur,undirected
maṣit,Ur,undirected
maṣit,Uruk,undirected
maṣit,Kullaba,undirected
maṣit,Udnim,undirected
maṣit,kusiga,undirected
maṣit,Kisig,undirected
maṣit,Aratta,undirected
maṣit,šubartum,undirected
maṣit,Enlil,undirected
maṣit,Šamaš,undirected
maṣit,Alla,undirected
maṣit,Dunga,undirected
maṣit,Lumha,undirected
maṣit,Geškad,undirected
maṣit,Ninura,undirected
maṣit,Išum,undirected
maṣit,Mušdama,undirected
maṣit,Qudma,undirected
maṣit,Qudmaš,undirected
maṣit,Kuksi,undirected
maṣit,Dapan,undirected
maṣit,Gugalita,undirected
maṣit,Quqqim,undirected
maṣit,Qaqqim,undirected
maṣit,Nita,undirected
maṣit,Alamuš,undirected
maṣit,Alba,undirected
maṣit,Alha,undirected
maṣit,Baliha,undirected
