,designation,period,provenience,museum_no
P405302,"Nisaba 04/1, 57",Old Babylonian,Uruk (mod. Warka),BM 016434
P405303,"Nisaba 04/1, 58",Old Babylonian,Uruk (mod. Warka),BM 016442
P405304,"Nisaba 04/1, 59",Old Babylonian,Uruk (mod. Warka),BM 016430
P405305,"Nisaba 04/1, 60",Old Babylonian,Uruk (mod. Warka),BM 023235
P405306,"Nisaba 04/1, 61",Old Babylonian,Uruk (mod. Warka),BM 023258
P405307,"Nisaba 04/1, 62",Old Babylonian,Uruk (mod. Warka),BM 016429
P405308,"Nisaba 04/1, 63",Old Babylonian,Uruk (mod. Warka),BM 016431
P405309,"Nisaba 04/1, 64",Old Babylonian,Uruk (mod. Warka),BM 015617
P405310,"Nisaba 04/1, 65",Old Babylonian,Uruk (mod. Warka),BM 016456
P405311,"Nisaba 04/1, 66",Old Babylonian,Uruk (mod. Warka),BM 022725
P405312,"Nisaba 04/1, 67",Old Babylonian,Uruk (mod. Warka),BM 016440
P405313,"Nisaba 04/2, 01",Old Babylonian,Uruk (mod. Warka),BM 016414
P405314,"Nisaba 04/2, 02",Old Babylonian,Uruk (mod. Warka),BM 016389
P405315,"Nisaba 04/2, 03",Old Babylonian,Uruk (mod. Warka),BM 026307
P405316,"Nisaba 04/2, 04",Old Babylonian,Uruk (mod. Warka),BM 022715
P405317,"Nisaba 04/2, 05",Old Babylonian,Uruk (mod. Warka),BM 086034
P405318,"Nisaba 04/2, 06",Old Babylonian,Uruk (mod. Warka),BM 015663
P405319,"Nisaba 04/2, 07",Old Babylonian,Uruk (mod. Warka),BM 023404
P405320,"Nisaba 04/2, 08",Old Babylonian,Uruk (mod. Warka),BM 022733
P405321,"Nisaba 04/2, 09",Old Babylonian,Uruk (mod. Warka),BM 023377
P405322,"Nisaba 04/2, 10",Old Babylonian,Uruk (mod. Warka),BM 096096
P405323,"Nisaba 04/2, 11",Old Babylonian,Uruk (mod. Warka),BM 016452
P405324,"Nisaba 04/2, 12",Old Babylonian,Uruk (mod. Warka),BM 022729
P405325,"Nisaba 04/2, 13",Old Babylonian,Uruk (mod. Warka),BM 023251
P405326,"Nisaba 04/2, 14",Old Babylonian,Uruk (mod. Warka),BM 022718
P405327,"Nisaba 04/2, 15",Old Babylonian,Uruk (mod. Warka),BM 016436
P405328,"Nisaba 04/2, 16",Old Babylonian,Uruk (mod. Warka),BM 023214
P405329,"Nisaba 04/2, 17",Old Babylonian,Uruk (mod. Warka),BM 023174
P405330,"Nisaba 04/2, 18",Old Babylonian,Uruk (mod. Warka),BM 022890
P405331,"Nisaba 04/2, 19",Old Babylonian,Uruk (mod. Warka),BM 096237
P405332,"Nisaba 04/2, 20",Old Babylonian,Uruk (mod. Warka),BM 016390
P405333,"Nisaba 04/2, 21",Old Babylonian,Uruk (mod. Warka),BM 016451
P405334,"Nisaba 04/2, 22",Old Babylonian,Uruk (mod. Warka),BM 016449
P405335,"Nisaba 04/2, 23",Old Babylonian,Uruk (mod. Warka),BM 016453
P405336,"Nisaba 04/2, 24",Old Babylonian,Uruk (mod. Warka),BM 023227
P405337,"Nisaba 04/2, 25",Old Babylonian,Uruk (mod. Warka),BM 086052
P405338,"Nisaba 04/2, 26",Old Babylonian,Uruk (mod. Warka),BM 023178
P405339,"Nisaba 04/2, 27",Old Babylonian,Uruk (mod. Warka),BM 015417
P405340,"Nisaba 04/2, 28",Old Babylonian,Uruk (mod. Warka),BM 023165
P405341,"Nisaba 04/2, 29",Old Babylonian,Uruk (mod. Warka),BM 016438
