,designation,period,provenience,museum_no,accession_no,excavation_no
P349179,"AUWE 23, 184",Old Babylonian,Uruk,,,"W 16743,eu"
P349180,"AUWE 23, 185",Old Babylonian,Uruk,,,"W 16603,bh"
P349181,"AUWE 23, 186",Old Babylonian,Uruk,,,"W 16603,f"
P349182,"AUWE 23, 187",Old Babylonian,Uruk,VAT 21610,,
P368830,"TMN p. 341, Ist Ni 04744",Old Babylonian,Nippur,Ist Ni 04744,,
P368903,"TMN p. 350, Ist Ni 10009",Old Babylonian,Nippur,Ist Ni 10009,,
P368906,"TMN p. 351, Ist Ni 10062",Old Babylonian,Nippur,Ist Ni 10062,,
P368911,"TMN p. 352, Ist Ni 10108",Old Babylonian,Nippur,Ist Ni 10108,,
P368932,TMN p. 355 Ist Ni 10210,Old Babylonian,Nippur,Ist Ni 10210,,
P370464,"CT 08, pl. 25, Bu 1891-05-09, 0558",Old Babylonian,Sippar,BM 080419,"Bu 1891-05-09, 0558",
P388287,Education in the Earliest Schools no. 053,Old Babylonian,uncertain,"SC 3, 024d",52178,
P388288,Education in the Earliest Schools no. 054,Old Babylonian,uncertain,"SC 3, 024b",52176,
P388303,Education in the Earliest Schools no. 076,Old Babylonian,uncertain,"SC 3, 023a",52174a,
P388304,Education in the Earliest Schools no. 077,Old Babylonian,uncertain,"SC 3, 023b",52174b,
P388305,CDLJ 2014/2,Old Babylonian,Larsa (?),"SC 3, 024a",52175,
P388376,Education in the Earliest Schools no. 176,Old Babylonian,uncertain,"SC 3, 024e",52179,
P388377,AION 72,Old Babylonian,Larsa (?),"SC 3, 024c",52177,
P388580,Education in the Earliest Schools no. 179,Old Babylonian,uncertain,"PARS 12/01, 141",96282,
P390404,"TLB 01, 266",Old Babylonian,uncertain,LB 1954,,
P411563,CUNES 52-02-045,Old Babylonian,uncertain,CUNES 52-02-045,,
P411647,CUNES 52-08-065,Old Babylonian,uncertain,CUNES 52-08-065,,
P411668,CUNES 52-10-147+149+150,Old Babylonian,uncertain,CUNES 52-10-147+149+150,,
P411669,CUNES 52-10-148,Old Babylonian,uncertain,CUNES 52-10-148,,
P411676,CUNES 52-10-155,Old Babylonian,uncertain,CUNES 52-10-155,,
P433189,X.3.217,Old Babylonian,uncertain,X.3.217,,
P448857,"Nisaba 19, 161",Old Babylonian,Ur,IM 090430,,
P459060,"OIC 22, 14",Old Babylonian,Nippur,,,11N-T0032
P459214,"AOAT 297, 337",Old Babylonian,Nippur,A 33446,,3N-T0914x
P459215,IM 058436,Old Babylonian,Nippur,IM 058436,,3N-T0342
X000001,3N-T0567,Old Babylonian,Nippur,,,3N-T0567
