,designation,period,provenience,museum_no,accession_no,excavation_no
P368924,Ist Ni 10202,Old Babylonian,Nippur,Ist Ni 10202,,
P368925,Ist Ni 10203,Old Babylonian,Nippur,Ist Ni 10203,,
P368926,Ist Ni 10204,Old Babylonian,Nippur,Ist Ni 10204,,
P368927,Ist Ni 10205,Old Babylonian,Nippur,Ist Ni 10205,,
P368928,Ist Ni 10206,Old Babylonian,Nippur,Ist Ni 10206,,
P368929,Ist Ni 10207,Old Babylonian,Nippur,Ist Ni 10207,,
P368930,Ist Ni 10208,Old Babylonian,Nippur,Ist Ni 10208,,
P368931,Ist Ni 10209,Old Babylonian,Nippur,Ist Ni 10209,,
P368932,Ist Ni 10210,Old Babylonian,Nippur,Ist Ni 10210,,
P368933,Ist Ni 10211,Old Babylonian,Nippur,Ist Ni 10211,,
P368934,Ist Ni 10212,Old Babylonian,Nippur,Ist Ni 10212,,
P368935,Ist Ni 10213,Old Babylonian,Nippur,Ist Ni 10213,,
P368936,Ist Ni 10214,Old Babylonian,Nippur,Ist Ni 10214,,
P368937,Ist Ni 10215,Old Babylonian,Nippur,Ist Ni 10215,,
P368938,Ist Ni 10216,Old Babylonian,Nippur,Ist Ni 10216,,
P368939,Ist Ni 10217,Old Babylonian,Nippur,Ist Ni 10217,,
P368940,Ist Ni 10218,Old Babylonian,Nippur,Ist Ni 10218,,
P368941,Ist Ni 10219,Old Babylonian,Nippur,Ist Ni 10219,,
P368942,Ist Ni 10220,Old Babylonian,Nippur,Ist Ni 10220,,
P368943,Ist Ni 10221,Old Babylonian,Nippur,Ist Ni 10221,,
P368944,Ist Ni 10222,Old Babylonian,Nippur,Ist Ni 10222,,
P368945,Ist Ni 10224,Old Babylonian,Nippur,Ist Ni 10224,,
P368946,Ist Ni 10225,Old Babylonian,Nippur,Ist Ni 10225,,
P368947,Ist Ni 10226,Old Babylonian,Nippur,Ist Ni 10226,,
P368948,Ist Ni 10227,Old Babylonian,Nippur,Ist Ni 10227,,
P368949,Ist Ni 10228,Old Babylonian,Nippur,Ist Ni 10228,,
P368950,Ist Ni 10229,Old Babylonian,Nippur,Ist Ni 10229,,
P368951,Ist Ni 10230,Old Babylonian,Nippur,Ist Ni 10230,,
P368952,Ist Ni 10231,Old Babylonian,Nippur,Ist Ni 10231,,
P368953,Ist Ni 10232,Old Babylonian,Nippur,Ist Ni 10232,,
P368954,Ist Ni 10233,Old Babylonian,Nippur,Ist Ni 10233,,
P368955,Ist Ni 10234,Old Babylonian,Nippur,Ist Ni 10234,,
P368956,Ist Ni 10235,Old Babylonian,Nippur,Ist Ni 10235,,
P368957,Ist Ni 10236,Old Babylonian,Nippur,Ist Ni 10236,,
P368958,Ist Ni 10237,Old Babylonian,Nippur,Ist Ni 10237,,
P368959,Ist Ni 10238,Old Babylonian,Nippur,Ist Ni 10238,,
P368960,Ist Ni 10239 +,Old Babylonian,Nippur,Ist Ni 10239 +,,
P368961,Ist Ni 10240,Old Babylonian,Nippur,Ist Ni 10240,,
P368962,Ist Ni 10241,Old Babylonian,Nippur,Ist Ni 10241,,
P368963,Ist Ni 10242,Old Babylonian,Nippur,Ist Ni 10242,,
P368964,Ist Ni 10243,Old Babylonian,Nippur,Ist Ni 10243,,
P368965,Ist Ni 10244,Old Babylonian,Nippur,Ist Ni 10244,,
P368966,Ist Ni 10245,Old Babylonian,Nippur,Ist Ni 10245,,
P368967,Ist Ni 10246,Old Babylonian,Nippur,Ist Ni 10246,,
P368968,Ist Ni 10247,Old Babylonian,Nippur,Ist Ni 10247,,
P368969,Ist Ni 10248,Old Babylonian,Nippur,Ist Ni 10248,,
P368970,Ist Ni 10249,Old Babylonian,Nippur,Ist Ni 10249,,
P368971,Ist Ni 10250,Old Babylonian,Nippur,Ist Ni 10250,,
P368972,Ist Ni 10251,Old Babylonian,Nippur,Ist Ni 10251,,
P368973,Ist Ni 10252,Old Babylonian,Nippur,Ist Ni 10252,,
P368974,Ist Ni 10253,Old Babylonian,Nippur,Ist Ni 10253,,
P368975,Ist Ni 10254,Old Babylonian,Nippur,Ist Ni 10254,,
P368976,Ist Ni 10255,Old Babylonian,Nippur,Ist Ni 10255,,
P368979,Ist Ni 03856,Old Babylonian,Nippur,Ist Ni 03856,,
P388149,HS 0249 + 1805,Old Babylonian,Nippur,HS 0249 + 1805,,
P388150,HS 0257,Old Babylonian,Nippur,HS 0257,,
P388151,HS 0261,Old Babylonian,Nippur,HS 0261,,
P388152,HS 0259,Old Babylonian,Nippur,HS 0259,,
P388153,HS 0271a,Old Babylonian,Nippur,HS 0271a,,
P388154,HS 0234,Old Babylonian,Nippur,HS 0234,,
P388155,HS 2638,Old Babylonian,Nippur,HS 2638,,
P388156,HS 0235,Old Babylonian,Nippur,HS 0235,,
P388157,HS 0242,Old Babylonian,Nippur,HS 0242,,
P388158,HS 0244,Old Babylonian,Nippur,HS 0244,,
P388159,HS 0240,Old Babylonian,Nippur,HS 0240,,
P388160,HS 0241,Old Babylonian,Nippur,HS 0241,,
P388161,HS 0237,Old Babylonian,Nippur,HS 0237,,
P388162,HS 0243,Old Babylonian,Nippur,HS 0243,,
P388163,HS 0262 + CBS 8222,Old Babylonian,Nippur,HS 0262 + CBS 8222,,
P388164,HS 0255,Old Babylonian,Nippur,HS 0255,,
P388165,HS 0268a,Old Babylonian,Nippur,HS 0268a,,
P388166,HS 0246,Old Babylonian,Nippur,HS 0246,,
P388167,HS 0265,Old Babylonian,Nippur,HS 0265,,
P388168,HS 0184,Old Babylonian,Nippur,HS 0184,,
P388169,HS 0233,Old Babylonian,Nippur,HS 0233,,
P388170,HS 0267,Old Babylonian,Nippur,HS 0267,,
P388171,HS 0269,Old Babylonian,Nippur,HS 0269,,
P388172,HS 2636,Old Babylonian,Nippur,HS 2636,,
P388173,HS 0253f,Old Babylonian,Nippur,HS 0253f,,
P388174,HS 2466,Old Babylonian,Nippur,HS 2466,,
P388175,HS 0254,Old Babylonian,Nippur,HS 0254,,
P388176,HS 0230,Old Babylonian,Nippur,HS 0230,,
P388177,HS 2467,Old Babylonian,Nippur,HS 2467,,
P388178,HS 0266,Old Babylonian,Nippur,HS 0266,,
P388179,HS 0270b,Old Babylonian,Nippur,HS 0270b,,
P388180,HS 0270c,Old Babylonian,Nippur,HS 0270c,,
P388181,HS 0270d,Old Babylonian,Nippur,HS 0270d,,
P388182,HS 0270e,Old Babylonian,Nippur,HS 0270e,,
P388183,HS 0270f,Old Babylonian,Nippur,HS 0270f,,
P390441,M 08613,Old Assyrian,Mari,,,M 08613
P416818,AO 09072,unclear,unknown,AO 09072,,
P424451,YBC 02392,Old Babylonian,unknown,YBC 02392,,
Q002409,LB Integer Squares,Late Babylonian,Various,,,
Q002410,LB 55 Times Table,Late Babylonian,Various,,,
Q002411,LB 54 Times Table,Late Babylonian,Various,,,
Q002412,LB 37 30 Times Table,Late Babylonian,Various,,,
Q002413,LB 35 Times Table,Late Babylonian,Various,,,
Q002414,LB 32 Times Table,Late Babylonian,Various,,,
Q002415,LB 28 48 Times Table,Late Babylonian,Various,,,
Q002416,LB 18 45 Times Table,Late Babylonian,Various,,,
Q002417,LB 11 15 Times Table,Late Babylonian,Various,,,
Q002418,LB 9 22 30 Times Table,Late Babylonian,Various,,,
Q002419,LB 6 45 Times Table,Late Babylonian,Various,,,
Q002420,LB 4 20 Times Table,Late Babylonian,Various,,,
Q002421,LB 3 30 Times Table,Late Babylonian,Various,,,
Q002422,LB 2 24 Times Table,Late Babylonian,Various,,,
Q002423,LB 2 15 Times Table,Late Babylonian,Various,,,
Q002424,LB 2 13 20 Times Table,Late Babylonian,Various,,,
Q002425,LB Reciprocals,Late Babylonian,Various,,,
Q002426,LB Squares,Late Babylonian,Various,,,
Q002427,LB Squares of Squares,Late Babylonian,Various,,,
Q002428,OB 8 Times Table,Old Babylonian,Various,,,
Q002429,NB Metrology,Neo-Babylonian,Various,,,
Q002430,OB Capacities,Old Babylonian,Various,,,
Q002431,OB Weights,Old Babylonian,Various,,,
Q002432,OB Areas,Old Babylonian,Various,,,
Q002433,OB Lengths,Old Babylonian,Various,,,
Q002434,OB Heights,Old Babylonian,Various,,,
Q002435,OB Reciprocals,Old Babylonian,Various,,,
Q002436,OB 50 Times Table,Old Babylonian,Various,,,
Q002437,OB 48 Times Table,Old Babylonian,Various,,,
Q002438,OB 45 Times Table,Old Babylonian,Various,,,
Q002439,OB 44 26 40 Times Table,Old Babylonian,Various,,,
Q002440,OB 40 Times Table,Old Babylonian,Various,,,
Q002441,OB 36 Times Table,Old Babylonian,Various,,,
Q002442,OB 30 Times Table,Old Babylonian,Various,,,
Q002443,OB 25 Times Table,Old Babylonian,Various,,,
Q002444,OB 24 Times Table,Old Babylonian,Various,,,
Q002445,OB 22 30 Times Table,Old Babylonian,Various,,,
Q002446,OB 20 Times Table,Old Babylonian,Various,,,
Q002447,OB 18 Times Table,Old Babylonian,Various,,,
Q002448,OB 16 40 Times Table,Old Babylonian,Various,,,
Q002449,OB 16 Times Table,Old Babylonian,Various,,,
Q002450,OB 15 Times Table,Old Babylonian,Various,,,
Q002451,OB 12 30 Times Table,Old Babylonian,Various,,,
Q002452,OB 12 Times Table,Old Babylonian,Various,,,
Q002453,OB 10 Times Table,Old Babylonian,Various,,,
Q002454,OB 9 Times Table,Old Babylonian,Various,,,
Q002455,OB 20 Times Table,Old Babylonian,Various,,,
Q002456,OB 7 30 Times Table,Old Babylonian,Various,,,
Q002457,OB 7 12 Times Table,Old Babylonian,Various,,,
Q002458,OB 7 Times Table,Old Babylonian,Various,,,
Q002459,OB 6 40 Times Table,Old Babylonian,Various,,,
Q002460,OB 6 Times Table,Old Babylonian,Various,,,
Q002461,OB 5 Times Table,Old Babylonian,Various,,,
Q002462,OB 4 30 Times Table,Old Babylonian,Various,,,
Q002463,OB 4 Times Table,Old Babylonian,Various,,,
Q002464,OB 3 45 Times Table,Old Babylonian,Various,,,
Q002465,OB 3 20 Times Table,Old Babylonian,Various,,,
Q002466,OB 3 Times Table,Old Babylonian,Various,,,
Q002467,OB 2 30 Times Table,Old Babylonian,Various,,,
Q002468,OB 2 24 Times Table,Old Babylonian,Various,,,
Q002469,OB 2 15 Times Table,Old Babylonian,Various,,,
Q002470,OB 2 Times Table,Old Babylonian,Various,,,
Q002471,OB 1 40 Times Table,Old Babylonian,Various,,,
Q002472,OB 1 30 Times Table,Old Babylonian,Various,,,
Q002473,OB 1 20 Times Table,Old Babylonian,Various,,,
Q002474,OB 1 15 Times Table,Old Babylonian,Various,,,
Q002475,OB Integer Squares,Old Babylonian,Various,,,
Q002476,OB Inverse Squares,Old Babylonian,Various,,,
Q002477,OB Inverse Cubes,Old Babylonian,Various,,,
X000001,IM 630174,Old Babylonian,unknown,IM 630174,,
X000002,IM 160796,Old Babylonian,confiscated on Iraqi border,IM 160796,,
X100001,IM 090736,Old Babylonian,Tell es-Seeb,IM 090736,,S2-407
X100002,IM 092006,Old Babylonian,Tell es-Seeb,IM 092006,,S2-596
X100003,IM 090862,Old Babylonian,Tell es-Seeb,IM 090862,,S2-540
X100004,IM 090884,Old Babylonian,Tell es-Seeb,IM 090884,,S2-563
X100005,IM 090889,Old Babylonian,Tell es-Seeb,IM 090889,,S2-568
X100008,IM 067164,Old Babylonian,Tell edh-Dhiba’i,IM 067164,,Db2-116
